text,label
salam kenal .yang mau kenalan.yg nga mau ya ngausah gpp:smiling_face_with_tear:,0
jalur ordal om @darmo,0
ini dimana ya,0
apanya yg naik cepat,0
malbor atau tugu,0
rame ne,0
Jogja,0
Malioboro,0
"padahal tugu deket bgt sm rumah tp ga kebagian tempat, kayak tahun lalu.",0
"tak tinggal makan dulu, nanti 18.30 saya balik sini lagii",0
Tugu,0
sabarr,0
ping,0
aku mau nonton tapi males,0
bukan Malioboro di tugu Jogja kalo ga salah eh ga tau ah ,0
"males,rame bgt. mending nonton live ini",0
jalan kak,0
tugu rame iki,0
ndek ndi lur,0
tugu,0
itu yang dapet didepan dari jam berapa yak?,0
pengen nonton tapi punya baby,0
tugu,0
tugu itu karnaval nek ini video nya di Malioboro klo gak salah,0
n m,0
masuknya pake tiket gak?,0
info parkiran yang masih longgar?,0
kak rafaellio tinggal di mana kalo aku kecamatan Umbulharjo Yogyakarta di kelurahan warung boto :grinning_face_with_sweat:,0
Macet enggak mas?:grinning_face_with_sweat:,0
ws full drgyo iki daerah tugu?,0
sugeng ambal warso kutho Ngayogyakarta,0
"padahal rumah deket boplaz, mau nonton ngga ada gelang jadi ngga bisa, penuh poll",0
apa sudah full disana?,0
rundown artise sopo wae lur?,0
Umbulharjo warungboto hadir:hand-pink-waving:,0
sgm balirejo hadir yoan wkwk,0
@galuh ga nonton di lolasi,0
udh full PO dah lah ga jadi kesana males rame² kalo Waktu 2023 ga rame bgt kayaknya :grinning_face_with_sweat:,0
tidak tau nanti @darmo,0
infoo,0
dari pada langsung sempit sempitan liat dari YouTube ajaa,0
pandeyan hadirrrr,0
ini malioboro atau tugu si?,0
Bg pnonton yg tidak pny tiket / gelang mboten pareng masuk area. Byk yg kecewa .,0
"jangan lupa klitih, sampah , parkir liar :face_with_tears_of_joy:",0
"nonton streaming saja, kalo nonton di tugu dijamin padat sekali, mau nonton didepan sudah pasti full, belum lagi selesai acara pasti macet total",0
hey,0
kalo yang di vidio skrng di Malioboro,0
canda Darmo Sanjaya.aku kelas 4,0
owhh,0
oke,0
spilll penontonmm,0
hdr,0
oke teman o,0
"rumah 5 menit dr tugu, terimo di rumah. nntn live :rolling_on_the_floor_laughing:",0
jika punya kenalan keamanan yang jaga bisa dicariin tempat yang agak depan:face-blue-smiling::face-blue-smiling:,0
wahhh,0
cabut dulu otw ke lokasi,0
rame cah,0
oke lah :smiling_face_with_tear::pensive_face:,0
:face-green-smiling::face-green-smiling:,0
jogja tetap istimewa,0
hah yg sabar ya mbak/mas Septiana :grinning_face_with_sweat:,0
siapa yg masih kelas 4 SD,0
aku kls 7 SMP,0
Jogja in the best,0
lagu galau,0
Is donk..ko in sih,0
lagu sukaan aku itu apa lagi lagu gondes :grinning_face_with_sweat:,0
Kelas 1 smp,0
pengen kesituuu :smiling_face_with_tear::smiling_face_with_tear:,0
kamu,0
Arif ramadhan,0
sama,0
ya mas /mbak,0
@pipiet agustin jangan lupa ngerjain PRnya dulu dek. malah nanti lupa loh,0
siapa yg suka Freya JKT48,0
First :partying_face:,0
ini siapa sih yg nanyi namanya,0
ada tapi pusing gurune riwet,0
saya suka Freya oshi ku itu,0
sippp tenannn,0
ruwet,0
Apoy,0
reog pnrogo udah tampil to?,0
sama Arif ramadhan,0
mapel apa? kok ruwet?,0
aku yg nanya nama,0
"absen,jogjamu ngndi lur? my jambon",0
"spill dong yg tinggal di Jogja tinggal di kecamatan mana kelurahan mana kayak aku Umbulharjo, warung boto jl persatuan jl Glagahsari, Yogyakarta",0
guru nya udah umur 60.Jadi ruwet murid e,0
nonton live sambil rebahan,0
arep menyang kok aras arasen,0
mergangsan hadirrr lurr,0
ini udh mulai belum ya?,0
SENDOWO C-68-D RT 4 RW 54 SINDUADI MLATI SLEMAN YOGYAKARTA jln sardjito,0
Mergangsan tempat sekolah ku itu Mts Muhammadiyah karangkkejen Yogyakarta :grinning_face_with_sweat:,0
mangkat saiki delok e adoh,0
belum,0
reog ponorogo udah tampil ya???,0
oy bah,0
melatih kesabaran ini namanya,0
:face-pink-tears:,0
kabare pie,0
siapa yg lihat. kalo aku ga boleh,0
info link gacor,1
Selamat Ultah Jogja Salam Dari Bantul :folded_hands:,0
Kotagede :raised_fist:,0
malah lali acarane saiki:loudly_crying_face: saiki mesti wes macet puol,0
aku nunggu kancaku tampil,0
wayang nya dah mulai blum ya?,0
bye aku keluar ya paketan mau habis :face_with_hand_over_mouth::grinning_face_with_sweat::rolling_on_the_floor_laughing:,0
sugeng ambalwarso Jogjakarta tercintakuuh,0
rumah aku di jogja,0
taun wingi okeh seng semaput...sumuuuuuuk e pool,0
lah knp emang Mbak/mas Pipiet Agustin? kalo aku nyuman ga ada yg nganter,0
karnaval lek,0
"Gunungkidul hadir,,,,,",0
morning kawan kawan,0
putriku ikut wjnc ...pawitikra is the best,0
AZKY BEDA OUTFIT,0
"pengen ndelok tapi ada sesuatu yg gak bisa di tinggal,,,,:smiling_face_with_tear::smiling_face_with_tear::smiling_face_with_tear:",0
sumuk polll,0
"turi hadir:index_pointing_up:,, memantau lewat tv saja, g deseg2 kan.",0
joogja istimewa,0
punya ank bayi yg nggk bisa antengg mending live streaming aja ya,0
yahh sayang lagi gak di Jogja :loudly_crying_face::loudly_crying_face:,0
nitip sendal,0
Reog Ponorogo Lg mau perform. barusan jalan dari Arah barat tugu,0
ssk stand by ket jam 3 kudune,0
salam buat kak YOKO '86,0
ini blm mulai kah,0
:hand-pink-waving:,0
smga ultah jogja tahun bsk pas week and wkwk,0
omagaa,0
Dari Griya Intan Permai :index_pointing_up:,0
aq ex wong kemetiran lor yg skrg di Delanggu. pengen nonton di tugu tapi ga memungkinkan,0
Darmo sanjaya udah besar,0
amit amit amit jupuk sendal mba mas lek amit amit,0
mulai belum ya,0
Salam dari Bangka Belitung,0
biyuh ameh delok kok iseh nyambut gawe,0
rumahku deket tuguu bngt tpi males ksitu,0
GAYENG,0
ini kayaknya kalau dipurwokerto kaya festival kentongan,0
kapan mulai:moai:,0
selamat ulang tahun jogja,0
JOGJA ISTIMEWA :red_heart::red_heart::red_heart::red_heart::red_heart:,0
lah udah mulai,0
selamat ulang tahun Jogjaku istimewa...love Jogja,0
semangat kemantren GK,0
padet banget gays,0
yg dekat merapat yg jauh nonton di sini cepattttt!!!!,0
woi suruh mba di depan duduk,0
. jnnnn.,0
semangat mantrijeron,0
Jogja istimewa,0
urutan ke brp ini,0
sendal gua ilang woyy,0
wo raiso lungguh ki seng ngarep,0
pada kangen jogja kan kalian yg dah lulus kuliah hehehehhe,0
mba’ baju hitem suruh duduk woiiii,0
yang depan duduk woi,0
ra iso ndelok nng tugu,0
"selamat ulang tahun jogja, semoga semakin istimewa",0
amit mas golek sendal,0
iyaa woi depan duduk,0
nonton sambil tiduran :moai:,0
sek mas golek i sendal,0
"nonton dirumah aja mending, kalo disana ramee bgtt",0
kira2 yg belakang kelihatan gak ya nonton nya,0
Mabar ff,0
wah aku ra bisa nonton neng jogja,0
penak neng omah,0
nonton streaming malah keliatan semuaa hehehhe,0
di sediakan toilet bos di setiap sisi,0
tinggal duduk rebahan mlh enak,0
aku liat di genteng rumah ada yg bisa liat gk,0
yg belakang bisa liat via vidio tron,0
halo,0
sangat jelas terlihat di-streaming.orang lihat berjubel,0
itulah Yogyakarta tiap ada hajat g pernah egois cuma menonjolkan budaya Jawa tapi mengajak semua budaya dr Sabang sampai Merauke untuk perform .,0
aki nonton di depan sendiri,0
jogja rumah segala suku.....,0
bagus tapi malas desak desakan,0
Jogja istimewa:hand-purple-blue-peace:,0
seru juga nonton dri hp,0
nunggu kembang api doang,0
maul gak perform awwokawoak,0
salam buat paman SANTO di SAMAS:person-turqouise-waving:,0
wayang kulite jam berapa?,0
mau pulang nggk bisa ini woy,0
Pengen ikutan jadi talent tapi ngga tau infonya :),0
ntn di hp aja pasti sdh gk bisa masuk,0
"jogja emang istimewa, tiap tahun gak ada habisnya event kesenian seperti ini. Salam budaya teman²",0
kita yg warga Jogja tapi ga kesana :grinning_face_with_sweat:,0
Hallo Jogja ku,0
aku nonton depan sendiri,0
wayang kulite jam berapa?,0
"yang penting jangan lupa sholat y,,",0
selamat ulang tahun Jogja..Jogja memang istimewa..:smiling_face_with_heart_eyes: pengen nonton tapi aku di Kalimantan..:pleading_face: tapi anak ku ada ikut meriahkan ultah Jogja..Mantrijeron semangat..:folded_hands::folded_hands:,0
bantul mati lampu,0
aku ning blunyahrejo,0
yg blm trllu padet daerah mn?,0
yg tinggal di Jogja ga jadi kesana ingat masih ada tahun depan :grinning_face_with_sweat:,0
tugunya gk ketok:face_with_hand_over_mouth:,0
welcome culture,0
aku nonton depan sendiri,0
rumah kuzu,0
"nonton di youtube lebih jelas, dari pada langsung berjubel""",0
:face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes::face-blue-wide-eyes:,0
ini urutan ke brp sih,0
aku.,0
tim nonton di rumah sambil rebahan,0
uni drno,0
info susunan acara cuy,0
aku nonton depan sendiri,0
aku males mau ke sana:face-blue-smiling:,0
akuu ditinggal kakakku,0
dari mno,0
ya itu bener itu mbak/mas za Saputra ,0
dah mulai ta,0
rame banget,0
yg sabar ya mbak ITS chaa,0
videonya lebih clear di youtubenya dinas pariwisata,0
nonton di YouTube aja sambil rebahan.,0
"males nonton langsung, gak temennya",0
aku nonton depan sendiri,0
muluncur broooo...jgn lupa mbawa sarung dan topi:grinning_face_with_sweat:,0
live di home teather :grinning_face:,0
nek aku ora try out aku mangkat delok cah:slightly_smiling_face:,0
fulll g bisa jln k arah tugu,0
mending di live dari pada langsung gak keliatan kebagian suaranya doang,0
nonton dr rmh saja.sambil rebahan,0
aku nonton depan sendiri,0
enakan streaming to yaa.. nggak capek dan bisa sambil rebahan,0
"Jetis jam brp to, tolong jawab",0
1080p60 mantaff,0
"*$elamat HUT , YOGYA .... LKN JATIM*",0
ini urutan berapa,0
"support citra seni mandiri jogja, semoga sukses",0
madang gudeg kulon tugu,0
aku nonton depan sendiri,0
Bekasi hadirrrr,0
wayang nya kapan yaaa,0
selamat ulang tahun untuk Yogyakartaku....damai dan rukun selalu....,0
mlm jogjaku,0
Mas kamera master shot sing ngeshot tugu miring tulunggg wwkwkwk,0
wihh,0
sayang kemaren langsung pergi ngerantau jadi gak bisa nonton,0
WOAWWW,0
aku nonton seko ngomah,0
seru nihh,0
Tangerang selatan hadirr,0
happy birthday Jogja,0
knp ya aku orang Jogja pengen nonton wayang itu bukan karena wayang nya nyuman enak aja tuh liat tugu Jogja nya :grinning_face_with_sweat:,0
lag,0
Ponorogo hadir,0
ini tayang di tv gak ya,0
delok disambi kerjo,0
plokk,0
nonton ngomah wae sambi rebahan ra resiko :beaming_face_with_smiling_eyes:,0
"Gunungkidul,rongkop hadir",0
yang jetis itu urutan ke brp,0
situbondo hadir,0
kok mandeg?,0
selamat hut ke 268 kota jogjakarta,0
aku nonton depan sendiri,0
waauuuww. ..kereeenn,0
jetis ke 7,0
aku nonton YouTube aja',0
admin nya jangan ngelag dong,0
tegalrejo urutan berapa,0
selamat Ulang Tahun jogja,0
*Kii Widodho Darmoko* LKN JATIM mengucapkan selamat & $ukses.,0
sayang aku gak liat langsung,0
pengen rono neng kok rame:moai:,0
mergangsan ke berapa ya tampilnya,0
aku di janti nich,0
Selamat ulang tahun Jogja istimewa:sparkles:,0
rasah Melu uyuk2an cukup secangkir kopi pahit d thelo goreng mempur terasa nonton live :face_with_tears_of_joy:,0
"mlebu jam 5 wis kebak, trs metu jam 6 macete pol",0
Sugeng ambal warso Ngayogyakarta . Kota penuh cinta dan rindu untuk kembali...:red_heart::red_heart::red_heart:,0
yang dapet paling depan itu kesitu jam berapa ya... ,0
"nntn d sini aja lah, mau kesana malah gatot.",0
Barakallah Jogjaku :smiling_face_with_hearts:,0
"yg liat mba Reni SM dian suruh balik lagi ke toko, bakpia ne masih akeh",0
plok teplok,0
aku nonton depan sendiri,0
buset ini depan rumah ku mau ke Indomaret rame bet jir macet :grinning_face_with_sweat:,0
baguuuss..Jogja istimewa,0
nderek mangayubagyo dinten dumadining kutho ngayogyakarto hadiningrat,0
mw ksna gada tmn,0
aku nontn di depan sendiri sambil rebahan Sambil ngopi,0
kampung ku itu Sumatra barat,0
keren banget,0
selamat ulangtahun jogja...semoga semakin maju dan warganya semakin sejahtera,0
lagu nya enak banget,0
dari sisi timur ngak ada monitor jadi nya nonton penonton,0
kampung di Sumatra Barat tinggal di Jogja udh resmi orang Jogja lahir di Jogja tapi asli orang Minang,0
Sudah mulai kah?,0
:hand-pink-waving:,0
dari jam 4,0
Nonton lautan orang,0
salam buat Kak HARI di Wates....met istirahat:hand-pink-waving:,0
"nonton live, sambil rebahan plus ngopi, wenaak",0
selamat ulangtahun kota ku tercinta kota jogja adalah kota batik yang banyak wisatanya,0
perbatasan hadir,0
baru urutan keberapa itu mas/mbak,0
km adek mama bs pake :rolling_on_the_floor_laughing:,0
assalamualaikum,0
Jogja tetap istimewa,0
cicii delok ra kii hhe,0
kota batik kota pelajar bukanya,0
selamat ulang taun jogja semoga tetap istimewa,0
"jogja istimewa...bangga lahir, besar di kota pelajar, berbudaya",0
Jogja kota ternyaman.. Jogja selalu istimewa.. sugeng ambal warso Jogjaku :smiling_face_with_hearts:,0
"pengen nonton tapi males desek""an.. mana pasukan krucil q banyak lagi :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:",0
nonton lewat TV aja sambil ngmil,0
"wah pas udah di Semarang malah ada HUT Jogja , sayang sekali",0
Ak nonton lewat tv sama hp,0
Selamat ulang tahun Jogjaaa :smiling_face_with_hearts: Kota yang penuh kenangan buat aku. Terimakassiii:smiling_face_with_hearts:. Salam juga buat doi yang ada d jogja sukses dan semangat yaa :red_heart:,0
kangen Jogja,0
wes persiapan tepat sampah rung iki,0
rame pol,0
"Selamat ulang tahun, Jogja :red_heart:",0
isane delok seko omah,0
Selamat Ulang Tahun kota Yogya.,0
"Ki Widodho Darmoko, drs publisistik & LKN JW TIMUR .... Mengucapkan $elamat DIRGAHAYU YOGYA",0
Gedongtengen urutan kbrp,0
ponorogo hadir,0
lgi nginep dket tugu ksna sesek,0
luar biasa...:hand-pink-waving:,0
mantap pengunjungnya ramai sekali.. sengaja datang dari tasikmalaya bersama keluarga,0
Jogja hadir,0
suarane hilang,0
"Nuwun kang/yu ngadmin,kami bisa tetep nonton tanpa meninggalkan tugas",0
Ak lagi nonton,0
:shaking_face::shaking_face::shaking_face::shaking_face: bagus bgt,0
bujang anom,0
rame lurr,0
sugeng ambal warsa kota jogja ku.. #bungjack,0
"meh nonton lngsung wegah le uyek""an, taun wingi okeh sek pingsan, mesakne",0
UWAWWWW,0
"jam segini kesitu masih keliatan ga ya,atau kebagian macet doang",0
uyeeeeee:grinning_face_with_sweat:,0
Kebagian Macey ,0
macet doang,0
orang2 udah pada dateng dari jam 4 sore mba,0
"tribun, ada yang HD engga",0
Macettt ,0
kebagian macet aja jam segini kesituu,0
macetcetcet,0
buset macet bet dah lah ga jadi kesana mending ke bioskop aja :relieved_face:,0
Sugeng Ambal Warsa kagem Yogyakarta Best Wishes for land who I satnd till now :two_hearts:,0
rame bet,0
info parkir mobil di mana ngeh,0
kenapa itu,0
*LKN ... LEMBAGA KEBUDAYAAN NASIONAL Jawa timur ...... $ukes DIY & MERDEKA,0
Pengab banget pas dulu nonton 2023 ,0
enak streaming aja dirumah sambil rebahan :face_with_tears_of_joy:,0
sudah pernah nonton yg thn 2022...thn skrg nonton via youtube wae hehe semoga jogja tetap istimewa,0
Pemaine transit ngendi lek?,0
ahhh jadi ingat lagunya,0
Enak meneh Nonton neng Hp karoan TV :grinning_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,0
nang kene ketok jelas,0
jadi inget pas nonton thn 2022 helmku sampe ilang di parkiran :face_with_tears_of_joy:,0
Seru banget di ultah jogja,0
streaming dari tangerang sukses selalu,0
info parkir mobil Ten pundi ngeh,0
keren keren,0
Lakon opo iki?,0
Weh Apik men,0
"streaming dr Semarang, kemarin waktu di Sleman gk tau kalo ada event HUT Jogja",0
le nyoting alon².di nikmati,0
bbagus,0
nonton neng ngomah karo nopi eenake pol,0
Rrrrooooowwwwrrrrr,0
masih mending mbak liya lah aku ketinggalan sama mas ku aku tersesat hampir saja ketemu saat aku ke tempat jajanan tanpa sama polisi :grinning_face_with_sweat::relieved_face:,0
Lek nyuting bingung saking ramene,0
info sampai jam brapa ya,0
YOGYAKARTA adalah Ibu Kota Kebudayaan,0
selamat ultah kota jogjakarta tercinta,0
nenxt tahun ngarep nonton,0
pengen ndono tapi macet puolll,0
yg lain mana,0
padet bangat eyyy,0
Alpien ada yg hadirkah,0
sugeng ambal warsa Yogyakarta :smiling_face_with_hearts:,0
"HBDDD JOGZZZ, GIVEAWAY TIKETTTTT KERETAA BALEKK JOGZZ DONGG JOGZZ XIXIXI",0
nonton disitu bisa masuk susah keluar!!,0
"enakan streaming aja, sambil ngeteh:grinning_squinting_face:, pdhl dekat sama rumah",0
penampilan yg inti nya mana,0
"ga bisa nonton disana , dilive ajaa:grinning_face_with_big_eyes::grinning_face_with_big_eyes:",0
selamat ulang tahun jogja ku,0
pengen kesana tapi tugas masih banyak :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,0
wow,0
Ojo do buang sampah sembarangan yo lek,0
Wong jowo seneng nonton ngeneki:person-turqouise-waving:,0
"enak nonton langsung bisa jajan macem"" :face_with_rolling_eyes:",0
sama aku besok sekolah pengen sih,0
la nungu berapa lama,0
es es esss,0
sudah selesai tuh,0
"$elamat & $ukses DIY ....... uri uri kabudayan Nusantara. LKN ,, LEMBAGA KEBUDAYAAN NASIONAL",0
Mantrijeron nomer berapa,0
anak kost mending rebahan dari pada macet,0
kemantren umbol harjo?,0
Bare kapan nggeh,0
acaranya sampe jam 22.00,0
keren... kota kelahiranku... aku disini... Yogya pancen istimewa :thumbs_up::red_heart:,0
salam dari papua,0
:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,0
ini selesai blm,0
:face-turquoise-covering-eyes:,0
belum,0
:hand-pink-waving:,0
lahir besar di jogja. prantauan di papua,0
:hand-purple-blue-peace:,0
bubar,0
jogja memang istimewa,0
:face-purple-smiling-fangs:,0
:body-green-covering-eyes::body-green-covering-eyes::body-green-covering-eyes:,0
:hand-pink-waving::hand-pink-waving:,0
:face-blue-question-mark::face-blue-question-mark:,0
.mending liat di live di sana rame,0
mantaps seniman seniwati Jogja,0
:person-turqouise-waving::person-turqouise-waving::person-turqouise-waving::clock-turquoise-looking-up::face-orange-tv-shape:,0
sholat duluu,0
ini blom selesai kan ya,0
:face-fuchsia-poop-shape:,0
