comment,final_comment,label
"Jauhi ""judol""
Lindungi""Bandarnya"" wkwkwk",jauhi judi online lindungi bandarnya haha,0
"Bang, kalo Luh pernah dengar kata IDN , Luh pasti paham. Itulah yg harus pertama di basmi. Mau berapapun situs link di blokir pemerintah. Gak guna.",kakak kalau lu pernah dengar kata idn lu pasti paham itulah yang harus pertama di basmi mau berapapun situs link di blokir pemerintah tidak guna,0
AL ini siapa ya ?🤔,al ini siapa ya,0
"Judol dan pinjol ini emamg se serem itu guys. Bahkan udah merambat ke dunia pendidikan (dinas pendidikan khususnya). Tolong segera diberantas, dan untuk orang-orang yang bekerja di bidang pendidikan khususnya tolong jangan sampai tergoda pinjol apalagi judol! Aneh, guru itu seharusnya mengayomi dan diayomi.",judi online dan pinjaman online ini emamg se seram itu guys bahkan sudah merambat ke dunia pendidikan dinas pendidikan khususnya tolong segera diberantas dan untuk orang orang yang bekerja di bidang pendidikan khususnya tolong jangan sampai tergoda pinjaman online apalagi judi online aneh guru itu seharusnya mengayomi dan diayomi,0
"SEMANGATTTT !!!
jangan kalah dengan kejahatan !",semangat jangan kalah dengan kejahatan,0
"santai bang,aku berada dipihakmu untuk memerangi judi online",santai kakak aku berada dipihakmu untuk memerangi judi online,0
Berantas PINJOL JUGA,berantas pinjaman online juga,0
"Gile itu lembaga apa sarang tikus , bobroknya ga karu karuan",gila itu lembaga apa sarang tikus bobroknya tidak karu karuan,0
Katak bijer gue aja yang lawan sini,katak bijer saya saja yang lawan sini,0
"Mahal banget ini konten, sehat sehat terus orang orang yang berada di jalan kebenaran... tetap semangat",mahal sekali ini konten sehat sehat terus orang orang yang berada di jalan kebenaran tetap semangat,0
turunkan!,turunkan,0
Ikan busuk dari otaknya..!!!!,ikan busuk dari otaknya,0
"Budi ary bertanggung jawab. Jodol, penjol, Kek pencurian data .",budi ary bertanggung jawab jodol penjol kayak pencurian data,0
"Bang Ferry kalo menurut gue yang mantan penjudi online selain situs yang gampang di akses permasalahan yang utamanya juga terkait transaksi bayarnya yang gampang bang harusnya dompet"" digital itu juga punya batasan tertentu itu si yang paling buat semua kalangan gampang akses 🔥",kakak ferry kalau menurut saya yang mantan penjudi online selain situs yang mudah di akses permasalahan yang utamanya juga terkait transaksi bayarnya yang mudah kakak harusnya dompet digital itu juga punya batasan tertentu itu si yang paling buat semua kalangan mudah akses,0
"Rakyat udah dimiskinkan oleh jodol dan penjol keknya dipelihara oleh oknum dari dalam cukup pinter mengalihkan perhatian, pak prabowo    harus membumihanguskan, biarpun macan, kambing kelinci,  semua ditangkap dimiskinkan dihukum penjara .",rakyat sudah dimiskinkan oleh jodol dan penjol kayaknya dipelihara oleh oknum dari dalam cukup pintar mengalihkan perhatian pak prabowo harus membumihanguskan biarpun macan kambing kelinci semua ditangkap dimiskinkan dihukum penjara,0
"Terima kasih atas semua perjuangannya bg ferry,,, pasti sudah terfikirkan sgala resiko mengungkapkan 'sisi gelap' judi dan oknum pemerintah. Semoga slalu dalam lindungan Allah bg sekeluargaa,, terima kasih slalu mengedukasi kamiii ❤",terima kasih atas semua perjuangannya kakak ferry pasti sudah terfikirkan sgala resiko mengungkapkan sisi gelap judi dan oknum pemerintah semoga selalu dalam lindungan allah kakak sekeluargaa terima kasih selalu mengedukasi kami,0
"""gua ga takut mati, tapi gua ga mau mati sia sia""",saya tidak takut mati tetapi saya tidak mau mati sia sia,0
Bang lu berani bangeet 😂😂,kakak kamu berani banget,0
AL siapa,al siapa,0
"Yes judol itu emang ladang basah pas awala muncul apalagi sifat akses nya itu melalui internet yang bisa dikendalikan oleh orang, kalo emang pemerintah yang kemarin serius berantas judi online itu sebenarnya mudah kominfo harus nya saling kerja sama dengan google Indonesia 2 pengendali itu harus nya bisa menghentikan judol dari dulu yah karena lahan basah trus lah di jaga, #Budiariewajibdiperiksa 👌",yes judi online itu memang ladang basah pas awala muncul apalagi sifat akses nya itu melalui internet yang bisa dikendalikan oleh orang kalau memang pemerintah yang kemarin serius berantas judi online itu sebenarnya mudah kominfo harus nya saling kerja dengan dengan google indonesia pengendali itu harus nya bisa menghentikan judi online dari dulu ya sebab lahan basah terus lah di jaga,0
"Yes judol itu emang ladang basah pas awala muncul apalagi sifat akses nya itu melalui internet yang bisa dikendalikan oleh orang, kalo emang pemerintah yang kemarin serius berantas judi online itu sebenarnya mudah kominfo harus nya saling kerja sama dengan google Indonesia 2 pengendali itu harus nya bisa menghentikan judol dari dulu yah karena lahan basah trus lah di jaga, #Budiariewajibdiperiksa 👌",yes judi online itu memang ladang basah pas awala muncul apalagi sifat akses nya itu melalui internet yang bisa dikendalikan oleh orang kalau memang pemerintah yang kemarin serius berantas judi online itu sebenarnya mudah kominfo harus nya saling kerja dengan dengan google indonesia pengendali itu harus nya bisa menghentikan judi online dari dulu ya sebab lahan basah terus lah di jaga,0
wow sombong sekali .. nggak takut mati.... ditunggu!!,wow sombong sekali tidak takut mati ditunggu,0
Segala sesuatu ada bekinganya. Usut trs dan dah gk usah ada bekingan2n,segala sesuatu ada bekinganya usut terus dan sudah tidak usah ada bekingan2n,0
Siapa yg nyuruh k*d*k zuma itu jadi mentri?,siapa yang nyuruh kdk zuma itu jadi mentri,0
"Banyakin doa ya , bang. Kita doakan juga bang Ferry dan orang2 yg berjuang menegakkan kebenaran. Pasti gak mudah, banyak ancaman",membanyaki doa ya kakak kita doakan juga kakak ferry dan orang-orang yang berjuang menegakkan kebenaran pasti tidak mudah banyak ancaman,0
Mungkin mereka semua main aman tanpa terendus oleh para penegak hukum di negeri ini,mungkin mereka semua main aman tanpa terendus oleh para penegak hukum di negeri ini,0
Mas Irwandi vs timoty Ronald lesgo,mas irwandi vs timoty ronald lesgo,0
GANTUNG SEMUA,gantung semua,0
THE NEXT MUNIR,the next munir,0
"Tangkap budi arei , menteri tolol yg nggak mngerti aiti . Jokowi asal nempati orang orang nya yg mendukung mulyono . Projo kuruptor",tangkap budi arei menteri tolol yang tidak mengerti aiti jokowi asal nempati orang orang nya yang mendukung mulyono projo kuruptor,0
Projo=pro judi online😂,projo pro judi online,0
"Ini knpa ya youtube,org bahas kasus judol,yg munculpun iklannya olymtrade,",ini kenapa ya youtube orang bahas kasus judi online yang munculpun iklannya olymtrade,0
"Tu Raffi Ahmad yg promosi judi online.
Tu coba tangkap",itu raffi ahmad yang promosi judi online itu coba tangkap,0
Yang jelas pengaruh yg sangat BESAR  yaitu  terhadap  EKONOMI  krn pengaruh  DAYA BELI masyarakat yg semakin menurun...sehingga sulit untuk mencari celah usaha kecil menengah ke bawah.,yang jelas pengaruh yang sangat besar yaitu terhadap ekonomi karena pengaruh daya beli masyarakat yang semakin menurun sehingga sulit untuk mencari celah usaha kecil menengah ke bawah,0
"Gua kaga ngerti judi. Meski tau situsnya. Tapi emang ga main,logika aja. Uang yg lu kumpulin cape2,lu taruh ke judi dgn kata "" untung2an "" 😂😂
Itu sebuah hal bodoh yg dilakukan manusia dengan kesadaran penuh.",saya kagak mengerti judi meski tau situsnya tetapi memang tidak main logika saja uang yang kamu kumpulin cape2 kamu taruh ke judi dengan kata untung2an itu sebuah hal bodoh yang dilakukan manusia dengan kesadaran penuh,0
inisial Al ? 😮 spil di kolom komentar,inisial al spil di kolom komentar,0
sikaaat terus bang,sikat terus kakak,0
MULYONO TERTAWA MELIHAT INI😂😂,mulyono tertawa melihat ini,0
AL ?,al,0
sudah ndak ada harapan negri ini akan menuju kebaikan siapa pun pemimpinya... negri ini rusak setelah rezim mulyono kemarin.....,sudah indak ada harapan negeri ini akan menuju kebaikan siapa pun pemimpinya negeri ini rusak setelah rezim mulyono kemarin,0
Pinjol ngak resmi itu cabangnya judol.. jadi siapapun anda yang judol pasti akan ada tawaran pinjol ..,pinjaman online enggak resmi itu cabangnya judi online jadi siapapun anda yang judi online pasti akan ada tawaran pinjaman online,0
Penjudi=Hama,penjudi hama,0
Pembawaannya kayak profesor di money heist 👍,pembawaannya seperti profesor di money heist,0
"Para pakar Hukum, Aparat Penegak hukum, sadarkah kalian bahwa Kasus Judol dan Narkoba itu dlm rangka pemiskinan dan pembodohan jangka Panjang, yg pada akhirnya meruntuhkan bangsa dan NKRI. Dari itu kita berharap penegakan hukum utk melindungi anak-anak Bangsa Indonesia kedepan, dan menghancurkan semua sarang Judol dan Narkoba dari bumi Indonesia.",para pakar hukum aparat penegak hukum sadarkah kalian bahwa kasus judi online dan narkoba itu dalam rangka pemiskinan dan pembodohan jangka panjang yang pada akhirnya meruntuhkan bangsa dan nkri dari itu kita berharap penegakan hukum untuk melindungi anak anak bangsa indonesia kedepan dan menghancurkan semua sarang judi online dan narkoba dari bumi indonesia,0
"Tenang pak Prabowo juga sudah mulai menyalakan mesin perang terhadap para mafia judol dll ,pasukan2 kusus sudah di siapkan.",tenang pak prabowo juga sudah mulai menyalakan mesin perang terhadap para mafia judi online dan lain-lain pasukan2 kusus sudah di siapkan,0
"Budi Arie pernah bilang, kalau Gibran kalah semua bisa masuk penjara, tapi dia lupa Prabowo memang beda...",budi arie pernah bilang kalau gibran kalah semua bisa masuk penjara tetapi dia lupa prabowo memang beda,0
dukung mas fery buat jadi anggota DPR RI 2029 !!,dukung mas fery buat jadi anggota dpr ri,0
"bang gw hormat sama lu yang berani speak up soal masalah ini, gw sendiri beberapa kali ketemu dengan beberapa penjudi online dan emang kondisinya parah banget, semoga pemerintah akan lebih tegas",kakak saya hormat dengan kamu yang berani speak up soal masalah ini saya sendiri beberapa kali ketemu dengan beberapa penjudi online dan memang kondisinya parah sekali semoga pemerintah akan lebih tegas,0
Semoga polri menjamin keselamatan lu bg tetap semangat menyuarakan Kebenaran bagi bangsa ini,semoga polri menjamin keselamatan kamu kakak tetap semangat menyuarakan kebenaran bagi bangsa ini,0
"Jadi menteri kominfo aja bang,gue dukung lo untuk brantas judi online",jadi menteri kominfo saja kakak saya dukung kamu untuk brantas judi online,0
"""INGATLAH , BAHWA DARI DALAM KUBUR , SUARA SAYA AKAN LEBIH KERAS DARIPADA DI ATAS  BUMI""

Kata kata ini mungkin akan terbukti jika Ferry Irwandi tiba tiba hilang secara misterius karena membongkar kedok kebobrokan yang beresiko besar , seperti Tan Malaka dulu",ingatlah bahwa dari dalam kubur suara saya akan lebih keras daripada di atas bumi kata kata ini mungkin akan terbukti jika ferry irwandi tiba tiba hilang secara misterius sebab membongkar kedok kebobrokan yang beresiko besar seperti tan malaka dulu,0
gass...bongkarr smuanya,gass bongkarr smuanya,0
masih maen dota ga bang,masih main dota tidak kakak,0
"Selamat! Anda gagal jadi DUTA ANTI JUDOL. Sadbor juaranya, dan para artis endorse judol selamat! #mampusrakyat",selamat anda gagal jadi duta anti judi online sadbor juaranya dan para artis endorse judi online selamat,0
Siapa yang dimaksut inisial AL ya man teman teman ?,siapa yang dimaksut inisial al ya man teman teman,0
"Semoga kelak anak turun gw bisa ikuti cara dan pola pikir kritis, santuy dan kultural kek abang @ferry ❤",semoga kelak anak turun saya bisa ikuti cara dan pola pikir kritis santai dan kultural kayak abang,0
"Kalau putaran uang nya berkontribusi juga untuk kepentingan di kalangat elite, tentu saja ini sangat TSM.
:)",kalau putaran uang nya berkontribusi juga untuk kepentingan di kalangat elite tentu saja ini sangat tsm,0
Semoga pinjol mendapat perhatian khusus juga karena efek domino nya di masyarakat sangat terasa,semoga pinjaman online mendapat perhatian khusus juga sebab efek domino nya di masyarakat sangat terasa,0
Semoga pinjol mendapat perhatian khusus juga karena efek domino nya di masyarakat sangat terasa,semoga pinjaman online mendapat perhatian khusus juga sebab efek domino nya di masyarakat sangat terasa,0
Lanjutkan boss,lanjutkan bos,0
"banggg, Buat filmm!!!",kakak buat filmm,0
"SEGERA BONGKAR ... KALIAN LIHAT, UANG HASIL KEJAHATAN JAMAN REJIM KEMARIN INI, TIDAK DIMASUKKAN DI REKENING BANK, TAPI DITUMPUK DI TEMPAT2 KHUSUS DALAM JUMLAH BANYAK ... MUNGKIN SUPAYA TIDAK TERLACAK OLEH PPATK DAN OJK KALI YA .. ??   HAYO BONGKAR .. !!",segera bongkar kalian lihat uang hasil kejahatan jaman rejim kemarin ini tidak dimasukkan di rekening bank tetapi ditumpuk di tempat-tempat khusus dalam jumlah banyak mungkin agar tidak terlacak oleh ppatk dan ojk kali ya hayo bongkar,0
"Kalo judol bisa diblokir..
Bagaiamana dengan situs porno..bisa gak diblokir..
Nanya?😅",kalau judi online bisa diblokir bagaiamana dengan situs porno bisa tidak diblokir tanya,0
reels di IG banyak yg mengandung WM judol. Kalau kita report apa bakal direspon ya?,reels di ig banyak yang mengandung wm judi online kalau kita report apa akan direspon ya,0
Banh vibes lu kok selalu kek the Professor dari Money Heist ya.,banh vibes kamu mengapa selalu kayak the professor dari money heist ya,0
"Projo itu singkatan Pro Judi Online, jadi mulai sekarang kalo ada orang yg mengaku dari Projo atau ada kaitannya dengan Projo ya itulah penjahatnya. Darah mereka shah untuk ditumpahkan karena sudah berbuat kerusakan",projo itu singkatan pro judi online jadi mulai sekarang kalau ada orang yang mengaku dari projo atau ada kaitannya dengan projo ya itulah penjahatnya darah mereka shah untuk ditumpahkan sebab sudah berbuat kerusakan,0
"Saya umkm termasuk yang sangat berdampak dari judol
Era pandemi kita masih bisa surfive tapi di era judol ini kita mati semua
Gada uang yang berputar di masyarakat
Uang lari semua ke kamboja",saya umkm termasuk yang sangat berdampak dari judi online era pandemi kita masih bisa surfive tetapi di era judi online ini kita mati semua enggak ada uang yang berputar di masyarakat uang lari semua ke kamboja,0
Bisa gk sih pejabat tertinggi nya tanggung jawab trus konsorsium yg di bilang sambo kek gmn pasti terbukti ada,bisa tidak sih pejabat tertinggi nya tanggung jawab terus konsorsium yang di bilang sambo kayak bagaimana pasti terbukti ada,0
"Pantau terus bang,,,, bukan 1, 2 cerita kita denger kengerian dari efek barang ini,,, dilevel kampung pun,, sudah bnyk cerita yang kelaurga hancur sampai mengakhiri hidup karna judi online ini",pantau terus kakak bukan cerita kita dengar kengerian dari efek barang ini dilevel kampung pun sudah banyak cerita yang kelaurga hancur sampai mengakhiri hidup karena judi online ini,0
"Ayo perangi judol,, sunggguh menghncurkan negara dari dalm,, imbas judol sungguh luar biasa,, dari kriminal, jerat hutang, bangkrut habis habisan, hingga bunuh diri, broken home,",ayo perangi judi online sunguh menghncurkan negara dari dalm imbas judi online sungguh luar biasa dari kriminal jerat hutang bangkrut habis habisan hingga bunuh diri broken home,0
Hukumannya minimal seumur hidup,hukumannya minimal seumur hidup,0
"8,5 jt perbulan padahal berita terbaru bandar judol untung sampai 21 miliar per hari😂😂😂😂",juta perbulan padahal berita terbaru bandar judi online untung sampai miliar per hari,0
Gila mereka... Sampai bisa masuk ke akun medsos org/ngebegal akun buat promoin judol.,gila mereka sampai bisa masuk ke akun medsos orang ngebegal akun buat promoin judi online,0
"Bang masih aman enggk ?
Ada keluhan yg aneh soalnya firasat jelek",kakak masih aman enggk ada keluhan yang aneh soalnya firasat jelek,0
keren video nya bang ferry,keren video nya kakak ferry,0
"Setelah baca-baca komennya,,, bisa di tolong uang nya di kembalikan saja???,,, termasuk korban secara tidak langsung,,,, terimakasi",setelah baca baca komennya bisa di tolong uang nya di kembalikan saja termasuk korban secara tidak langsung terimakasi,0
Bantu up agar muncul di beranda kalian semua ❤,bantu up agar muncul di beranda kalian semua,0
20jt per situs bang info ordal,20jt per situs kakak info ordal,0
"Satu kata untuk judi online ""LAWAN""",satu kata untuk judi online lawan,0
adalah benar,adalah benar,0
"Balik lagi gua ke sini. Sekali lagi, sekelas negara saja backing. Siapa lagi yg bisa menghambat mereka. And then mereka cuti kerja selama beberapa bulan and then balik lagi cuma demi agar masyrakat bodoh kita lupa akan berbagai kasus. Termasuk judol ini",balik lagi saya ke sini sekali lagi sekelas negara saja backing siapa lagi yang bisa menghambat mereka and then mereka cuti kerja selama beberapa bulan and then balik lagi cuma demi agar masyrakat bodoh kita lupa akan berbagai kasus termasuk judi online ini,0
"Si, professor",si professor,0
Kemenangan terbesar adalah berhenti 😊,kemenangan terbesar adalah berhenti,0
351 org yg dislike ini bandar kah? Apa salah 1 nya pak budi arie juga😅,orang yang dislike ini bandar kah apa salah nya pak budi arie juga,0
Judi hanyalah sebuah permainan yang dimainkan oleh orang-orang dengan sifat primitif dan tidak memikirkan masa depan 🃏🀄♠️,judi hanyalah sebuah permainan yang dimainkan oleh orang orang dengan sifat primitif dan tidak memikirkan masa depan,0
"Makin yakin , yg menjajah dan menjarah kekayaan tanah ini selama berAbad2 bukanlah bangsa Asing , bukanlah Belanda , Cina , dll , Melainkan orang2 lokal terkuatnya dari tanah ini sendiri , yg memiliki power & kesempatan 😑",makin yakin yang menjajah dan menjarah kekayaan tanah ini selama berabad2 bukanlah bangsa asing bukanlah belanda cina dan lain-lain melainkan orang-orang lokal terkuatnya dari tanah ini sendiri yang memiliki power kesempatan,0
"Tapi bang Ferry kan back up nyq Gede, ini channel dibawah naungan Close the door nya Deddy Corbuzer, 😊",tetapi kakak ferry kan back up nyq gede ini channel dibawah naungan close the door nya deddy corbuzer,0
"Bangsat juga Kominfo, melindungi Judol. Apakah ulah mereka juga dibalik Data kita jebol, pinjol yg meraja lela di negeri ini? Kalau benar, memang benar2 Bangsat mereka.",bangsat juga kominfo melindungi judi online apakah ulah mereka juga dibalik data kita jebol pinjaman online yang meraja lela di negeri ini kalau benar memang benar-benar bangsat mereka,0
"Mana nih org tolol yg berdebat dgn gw di konten sebelah yg bilang ""JUDOL ITU BUKAN DI BLOKIR TAPI PEMAIN NYA YG SADAR""
Tuh udh di jawab,,klu emg niat mau memberantas gk sulit kok. Tinggal di blokir semua selesai,,tapi kembali lagi ada yg mau menolak cuan yg besar gk ?  Dan terbukti kepala nya aja ikut membekingi. 
Makanya tolol itu boleh,,tapi simpen ke diri sendiri aja,,jgn sok berdebat tapi tolol 😅😅
Semoga dgn presiden sekarang judol bisa di berantas. Betul kata bung ferry,,gk perlu berharap lebih,,tapi yg ttp mendukung klu itu untuk kebaikan 😊
Semoga yg tolol debat di konten sebelah baca nih koment gw,,yuk gw kasih pencerahan lagi biar pintar 😅",dimana nih orang tolol yang berdebat dengan saya di konten sebelah yang bilang judi online itu bukan di blokir tetapi pemain nya yang sadar tuh sudah di jawab kalau memang niat mau memberantas tidak sulit mengapa tinggal di blokir semua selesai tetapi kembali lagi ada yang mau menolak cuan yang besar tidak dan terbukti kepala nya saja ikut membekingi makanya tolol itu boleh tetapi simpan ke diri sendiri saja jangan sok berdebat tetapi tolol semoga dengan presiden sekarang judi online bisa di berantas betul kata bung ferry tidak perlu berharap lebih tetapi yang tetap mendukung kalau itu untuk kebaikan semoga yang tolol debat di konten sebelah baca nih komentar saya yuk saya kasih pencerahan lagi agar pintar,0
"Menkontol membodohi rakyat, rakyatnya juga bodoh percaya judi online bisnis lotre",menkontol membodohi rakyat rakyatnya juga bodoh percaya judi online bisnis lotre,0
"Keren bang, ini merupakan gerakan dari pak Prabowo, kita tau ada mas Deddy orang dibalik layar yang menyuarakan hal ini dan mas ferry mengikuti hal ini",keren kakak ini merupakan gerakan dari pak prabowo kita tau ada mas deddy orang dibalik layar yang menyuarakan hal ini dan mas ferry mengikuti hal ini,0
"Saya cuma seorang Buruh Pabrik yang sudah lelah melihat teman Rungkad terus dan akhirnya pinjam dulu 100 tapi gabalik balik.
semoga dengan ini saya sudah  berpartisipasi dalam pemberantasan Judol b0d0h ini.
Ayo teman teman ikutan bantu juga, supaya bang Ferry tambah semangat 🔥🔥🔥",saya cuma seorang buruh pabrik yang sudah lelah melihat teman rungkad terus dan akhirnya pinjam dulu tetapi gabalik balik semoga dengan ini saya sudah berpartisipasi dalam pemberantasan judi online b0d0h ini ayo teman teman ikutan bantu juga agar kakak ferry tambah semangat,0
"Curht dikit. Temen gw kecanduan judi, dia itu temen yg loyal banget di tongkrongan, gw slalu ngingetin tpi dia berdalih cuman dikit-dikit 50.000 doang. Gw gk percay sih ama perkataanya, dia bilng mau udahan tpi bulan depan kumat lagi. Aku kudu gimana bwat bantu sadarin dia😢?.",curht dikit teman saya kecanduan judi dia itu teman yang loyal sekali di tongkrongan saya selalu mengingatkan tapi dia berdalih cuma dikit dikit doang saya tidak percay sih sama perkataanya dia bilang mau udahan tapi bulan depan kumat lagi aku harus bagaimana bwat bantu sadarin dia,0
"gw yakin hapir semua org pasti punya circle yg kena dampak Judol, gw saja udah ada 2 keluarga yg tumbang cuma gegara judol",saya yakin hapir semua orang pasti punya circle yang kena dampak judi online saya saja sudah ada keluarga yang tumbang cuma gegara judi online,0
Teman-teman harus menonton film No More Bets. bakalan ga nyangka sebegitu terstruktur nya Bandar Judi Online ini,teman teman harus menonton film no more banget bakalan tidak menyangka sebegitu terstruktur nya bandar judi online ini,0
Dramatisir😅,dramatisir,0
"Kok masih ada yang mau judi online itu kenapa ya? 
Klo pake logika kan pasti ada sistem yang dibangun dengan tujuan manipulasi dan diatur sedemikian rupa, jadi kalian ndak akan menang/kaya melalui judol",mengapa masih ada yang mau judi online itu kenapa ya kalau pakai logika kan pasti ada sistem yang dibangun dengan tujuan manipulasi dan diatur sedemikian rupa jadi kalian indak akan menang kayak melalui judi online,0
"Kenalan di tempat kerja aja masih banyak yg main judi online, dibilang juga masuk kuping kanan keluar kuping kiri. Giliran akhir bulan ngemis2 minta makan padahal gaji sama, dipikirin saya kalo temen saya aja yg rata2 cuma pegang hp dan internet selebihnya gaptek masih bisa akses, berati emang sistem blokir masih wadidaw.",kenalan di tempat kerja saja masih banyak yang main judi online dibilang juga masuk kuping kanan keluar kuping kiri giliran akhir bulan ngemis2 meminta makan padahal gaji dengan dipikirkan saya kalau teman saya saja yang rata-rata cuma pegang hp dan internet selebihnya gaptek masih bisa akses berarti memang sistem blokir masih wadidaw,0
"lo mirip Professor di money heist bang. ""Rencanakan"" bang..! Gw ikut Pokoknya, Code name gw, Solo.",kamu seperti professor di money heist kakak rencanakan kakak saya ikut pokoknya code name saya solo,0
EPIC CONTENT!,epic content,0
Sweeping impostor instansi selanjutnya,sweeping impostor instansi selanjutnya,0
